#USGS station No.,"Annual exceedance probability discharge, in cubic feet per second",,,,,,,,,,,,,,,,,,,,,,,,Skew coefficient used for Sta AEP,Skew coefficient used in appendix B,MSE of skew coefficient used in appendix B,
#50-percent,20-percent,10-percent,4-percent,2-percent,1-percent,0.5-percent,0.2-percent
#Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Skew coefficient used for Sta AEP,Skew coefficient used in appendix B,MSE of skew coefficient used in appendix B
15120600,34600,56800,34600,41000,70600,41100,45200,79800,45400,50600,91200,51000,54600,99800,55200,58600,108000,59600,62800,116000,64200,68300,127000,70700,0.500,0.498,0.1852
15120720,1470,2910,1490,2070,4130,2110,2530,5000,2590,3180,6120,3330,3730,6970,3970,4320,7820,4700,4980,8690,5520,5950,9860,6750,0.565,,
15129000,130000,128000,130000,157000,150000,157000,175000,165000,174000,197000,184000,197000,214000,197000,213000,231000,211000,230000,249000,225000,247000,272000,242000,270000,0.476,,
15129500,2060,3580,2070,2710,4660,2730,3140,5410,3180,3700,6370,3770,4120,7110,4220,4550,7830,4680,4990,8590,5170,5590,9590,5850,0.194,,
15129600,78,583,81,105,832,110,124,1010,132,148,1250,163,167,1430,189,186,1620,218,206,1810,250,234,2070,300,0.228,,
15195000,1960,1030,1960,2180,1420,2180,2320,1690,2310,2470,2060,2470,2580,2340,2570,2680,2620,2680,2780,2910,2780,2910,3300,2920,0.245,,
15198500,155,308,157,243,501,251,320,649,336,444,847,479,560,1000,616,698,1160,781,863,1330,976,1130,1560,1270,0.849,1.291,0.3953
15199000,58,83,60,123,145,125,180,194,181,266,262,266,342,317,337,426,375,413,520,436,493,659,520,604,-0.153,-0.496,0.2155
15200000,4760,5050,4770,6810,7240,6820,8340,8790,8350,10400,10800,10500,12200,12300,12200,14000,13800,14000,16000,15300,15900,18900,17400,18600,0.368,0.282,0.2227
15200270,297,664,340,672,1070,745,1040,1380,1120,1680,1790,1720,2310,2110,2220,3070,2430,2740,4010,2770,3280,5550,3240,3980,0.142,,
15200280,6910,8850,6940,9690,12600,9750,11600,15200,11700,14200,18500,14400,16300,21000,16600,18400,23600,18800,20600,26000,21100,23700,29400,24500,0.191,-0.035,0.1824
15201000,90,27,87,165,51,157,235,72,219,353,102,310,466,126,383,604,153,454,773,181,522,1060,221,605,0.530,0.510,0.1401
15201100,61,82,62,89,149,91,112,202,115,144,278,151,171,338,184,202,402,222,236,469,266,287,564,336,0.572,0.527,0.2254
15201900,30,,,97,,,186,,,384,,,621,,,965,,,1460,,,2420,,,0.247,,
15202000,24600,,,37400,,,47800,,,63300,,,76700,,,91900,,,109000,,,136000,,,0.545,,
15206000,6910,14200,6920,7750,18600,7780,8260,21600,8300,8840,25400,8920,9260,28200,9380,9650,31000,9820,10000,33800,10300,10500,37600,10900,0.184,,
